drug	n_gwas_target_genes	approved	genes
ALEXIDINE HYDROCHLORIDE	2	False	FEN1,TLR9
INFLIXIMAB-DYYB	2	True	HLA-B,TLR9
THIMEROSAL	2	True	FEN1,TLR9
ETANERCEPT-SZZS	2	True	HLA-B,TLR9
SUNITINIB	2	True	DRD2,PBRM1
ALPRAZOLAM	2	True	BRD3,PBRM1
CABOZANTINIB S-MALATE	2	True	DRD2,PBRM1
TRIAZOLAM	2	True	BRD3,PBRM1
SNS-314	2	False	AURKB,NEK4
BAY 61-3606	2	False	AURKB,NEK4
INTERFERON BETA-1B	2	True	FHIT,GAPVD1
LOMOFUNGIN	2	False	FEN1,MBNL1
MITOXANTRONE	2	True	FEN1,MBNL1
NOREPINEPHRINE	2	True	FEN1,MBNL1
MITOXANTRONE HYDROCHLORIDE	2	True	FEN1,MBNL1
PEGINTERFERON ALFA-2A	2	True	FTO,HLA-B
RIBAVIRIN	2	True	FTO,HLA-B
METHIMAZOLE	2	True	CYP7B1,HLA-B
ISONIAZID	2	True	ASTN2,HLA-B
TAMOXIFEN	2	True	ESR1,ESR2
FULVESTRANT	2	True	ESR1,ESR2
CISPLATIN	2	True	ESR1,XRCC3
EXEMESTANE	2	True	ESR1,ESR2
ESTROGEN	2	True	ESR1,ESR2
DOXYCYCLINE ANHYDROUS	2	True	ESR1,FEN1
MK-6913	2	False	ESR1,ESR2
GENTIAN VIOLET CATION	2	True	ESR1,FEN1
ALPELISIB	2	True	ESR1,ESR2
ESTROGENS, CONJUGATED (USP)	2	True	ESR1,ESR2
RALOXIFENE HYDROCHLORIDE	2	True	ESR1,ESR2
RITUXIMAB	2	True	ESR1,ESR2
GENISTEIN	2	True	ESR1,ESR2
COMPOUND 14 [PMID: 34333981]	2	False	ESR1,ESR2
ABEMACICLIB	2	True	ESR1,ESR2
BISPHENOL A	2	False	ESR1,ESR2
RIBOCICLIB	2	True	ESR1,ESR2
ESTRADIOL VALERATE	2	True	ESR1,ESR2
QUINESTROL	2	True	ESR1,ESR2
DIETHYLSTILBESTROL DIPHOSPHATE	2	True	ESR1,ESR2
IDOXIFENE	2	False	ESR1,ESR2
TOREMIFENE	2	True	ESR1,ESR2
LASOFOXIFENE	2	True	ESR1,ESR2
PCC0208017	2	False	ESR1,ESR2
METHOXSALEN	2	True	ESR1,FEN1
ESTRONE	2	True	ESR1,ESR2
NORGESTREL	2	True	ESR1,HSPA5
CHLOROTRIANISENE	2	True	ESR1,ESR2
SYNTHETIC CONJUGATED ESTROGENS, B	2	True	ESR1,ESR2
ACOLBIFENE	2	False	ESR1,ESR2
ESTRIOL	2	True	ESR1,ESR2
ICI-164384	2	False	ESR1,ESR2
PCC0105003	2	False	ESR1,ESR2
MASOPROCOL	2	True	ESR1,FEN1
BAZEDOXIFENE ACETATE	2	True	ESR1,ESR2
GOSSYPOL	2	False	ESR1,FEN1
ARZOXIFENE	2	False	ESR1,ESR2
ESTETROL	2	True	ESR1,ESR2
ESTROGENS, ESTERIFIED (USP)	2	True	ESR1,ESR2
DROLOXIFENE	2	False	ESR1,ESR2
BAZEDOXIFENE	2	True	ESR1,ESR2
IXABEPILONE	2	True	ESR1,ESR2
SACITUZUMAB GOVITECAN	2	True	ESR1,ESR2
CYCLOFENIL	2	True	ESR1,ESR2
DAUNORUBICIN HYDROCHLORIDE	2	True	ESR1,FEN1
CAPIVASERTIB	2	True	ESR1,ESR2
CHF4227	2	False	ESR1,ESR2
LY2245461	2	False	ESR1,ESR2
COUMESTROL	2	False	ESR1,FEN1
SIVIFENE	2	False	ESR1,ESR2
CATECHOL	2	False	ESR1,FEN1
GOSERELIN ACETATE	2	True	ESR1,ESR2
FAM-TRASTUZUMAB DERUXTECAN-NXKI	2	True	ESR1,ESR2
ETHINYL ESTRADIOL	2	True	ESR1,ESR2
ESTROGENS, CONJUGATED SYNTHETIC A	2	True	ESR1,ESR2
OLAPARIB	2	True	ESR1,ESR2
METHAMPHETAMINE	2	True	DRD2,ESR1
OSPEMIFENE	2	True	ESR1,ESR2
ERIBULIN MESYLATE	2	True	ESR1,ESR2
CHF 4227	2	False	ESR1,ESR2
ALLYLESTRENOL	2	True	ESR1,ESR2
TAS-108	2	False	ESR1,ESR2
RALOXIFEN	2	True	ESR1,ESR2
COMPOUND 17D [PMID: 23099093]	2	False	ESR1,FEN1
FISPEMIFENE	2	False	ESR1,ESR2
BITHIONOL	2	True	ESR1,ESR2
OXALIPLATIN	2	True	CSMD1,XRCC3
OLANZAPINE	2	True	CSMD1,DRD2
STREPTOZOCIN	2	True	CD40,CYP7B1
VERAPAMIL	2	True	CACNA1C,PTPRD
PP-121	2	False	DRD2,GOLGA1
CHEMBL:CHEMBL67535	2	False	FEN1,HSPA5
DAPHNETIN	2	False	FEN1,HSPA5
EUPAFOLIN	2	False	FEN1,HSPA5
CHEMBL:CHEMBL546797	2	False	AURKB,CAMK1D
DECAVANADATE	2	False	MPPED2,MYRF
IP3	2	False	MPPED2,MYRF
METHYLDOPA ANHYDROUS	2	True	DRD2,FEN1
DOPAMINE	2	True	DRD2,FEN1
BX-795	2	False	DRD2,FEN1
LEVODOPA	2	True	DRD2,FEN1
ARIPIPRAZOLE LAUROXIL	2	True	ANKK1,DRD2
NALTREXONE	2	True	ANKK1,DRD2
NEMONAPRIDE	2	False	ANKK1,DRD2
DISULFIRAM	2	True	ANKK1,DRD2
QUETIAPINE FUMARATE	2	True	ANKK1,DRD2
ILOPERIDONE	2	True	CELF4,DRD2
RISPERIDONE	2	True	DRD2,NPAS3
DEXTROAMPHETAMINE SULFATE	2	True	CDH13,DRD2
